fold_name,horizon,model,bus_count,bus_mae_mean,bus_mae_median,std,min,max
validate_2022_to_2023,next_day,baseline_historical_mean,6,111.04118225762528,44.18118939322524,150.3932210142078,11.89233740258924,402.00507021430366
validate_2022_to_2023,next_day,baseline_lag_168h,6,47.66136805555555,32.194,46.78337579629661,1.451125,134.38908333333333
validate_2022_to_2023,next_day,direct_xgb_cyclical_kmeans,6,34.28548697111342,22.112686396280925,38.62507667816797,8.50124481455485,111.35754410552978
validate_2022_to_2023,next_day,research_lightgbm_cyclical_kmeans,6,34.76383870364271,20.94593044423872,30.341687912897168,11.538249364720023,86.4924372176509
validate_2022_to_2023,next_day,research_random_forest_cyclical_kmeans,6,10.730049821069125,11.483177936961368,5.771831992210707,2.285112760781405,16.769898202588653
validate_2022_to_2023,next_day,zone_allocated_hgb,6,58.477417415293395,39.4477722838175,47.47926886702031,28.305108841703458,152.61591866044117
validate_2022_to_2023,next_month,baseline_historical_mean,6,100.9935137978329,46.70835071734007,148.24291512711315,9.517581690042697,396.7474353568895
validate_2022_to_2023,next_month,baseline_lag_168h,6,22.331635912698413,17.94135119047619,18.926349498621825,0.6843571428571428,56.87685714285714
validate_2022_to_2023,next_month,direct_xgb_cyclical_kmeans,6,97.32260794254086,46.22576883371124,108.2308922056383,29.11953448247459,306.2387287099326
validate_2022_to_2023,next_month,research_lightgbm_cyclical_kmeans,6,135.2560094203244,42.25128198736497,202.76972560110897,25.471091081889707,542.1567751517557
validate_2022_to_2023,next_month,research_random_forest_cyclical_kmeans,6,129.15135337161252,33.72283844875417,197.10770323771945,22.544494164607247,522.5859320590475
validate_2022_to_2023,next_month,zone_allocated_hgb,6,74.31291351570134,55.58688062744078,60.951238763673565,32.157402873211595,195.1285593097017
validate_2022_to_2023,next_week,baseline_historical_mean,6,98.71757265209172,50.858894918069424,147.96792661789078,9.085559461006222,396.7262664262568
validate_2022_to_2023,next_week,baseline_lag_168h,6,22.331635912698413,17.94135119047619,18.926349498621825,0.6843571428571428,56.87685714285714
validate_2022_to_2023,next_week,direct_xgb_cyclical_kmeans,6,72.3841719513545,37.08965257717314,82.25434633958537,18.41512570808047,233.78786974916005
validate_2022_to_2023,next_week,research_lightgbm_cyclical_kmeans,6,102.14795880368058,26.500495886696843,162.18490961016295,16.316569006956712,428.0662577531609
validate_2022_to_2023,next_week,research_random_forest_cyclical_kmeans,6,77.43693255210768,25.30230770144505,104.89314183142253,15.63673670952325,281.74699110154376
validate_2022_to_2023,next_week,zone_allocated_hgb,6,85.74628890409542,55.53736891397041,84.62343718569271,30.28884989459073,256.19487888139747
validate_2022_2023_to_2024,next_day,baseline_historical_mean,6,109.53934562685156,18.788191457788773,156.8521125872628,5.43195600728155,381.6640612941872
validate_2022_2023_to_2024,next_day,baseline_lag_168h,6,8.706409722222224,5.003770833333334,8.65410893458583,2.4211250000000013,24.81129166666668
validate_2022_2023_to_2024,next_day,direct_xgb_cyclical_kmeans,6,44.8200946413676,25.374384628295896,55.56883253544875,6.240989023844404,152.2365368245443
validate_2022_2023_to_2024,next_day,research_lightgbm_cyclical_kmeans,6,34.65468532654527,16.669183197596602,41.31892583216639,8.628755095185824,116.49707739199302
validate_2022_2023_to_2024,next_day,research_random_forest_cyclical_kmeans,6,40.42562804727918,17.915470233392494,43.185974661136875,11.407314149592326,118.43296474345624
validate_2022_2023_to_2024,next_day,zone_allocated_hgb,6,141.7870240690672,124.28315716317836,73.10148569321092,54.37198788246237,229.37809913687465
validate_2022_2023_to_2024,next_month,baseline_historical_mean,6,155.52919274237877,28.9692145424077,215.10627043834384,16.41586256306972,527.1441959543125
validate_2022_2023_to_2024,next_month,baseline_lag_168h,6,18.370284431137723,10.590131736526946,18.53691837229131,4.969161676646706,53.058119760479045
validate_2022_2023_to_2024,next_month,direct_xgb_cyclical_kmeans,6,214.53001402972063,47.01809355305278,275.6029502105879,21.207173342965337,601.6472838438709
validate_2022_2023_to_2024,next_month,research_lightgbm_cyclical_kmeans,6,205.62995250828973,45.7643608748968,265.24756829862696,20.141841765384175,598.4494819877231
validate_2022_2023_to_2024,next_month,research_random_forest_cyclical_kmeans,6,217.97826165491497,50.60563598933332,279.25981146346777,20.986880862791008,619.3165567804768
validate_2022_2023_to_2024,next_month,zone_allocated_hgb,6,186.37562561753077,44.55616835228384,235.04699108913715,22.108286007232376,510.46958265934813
validate_2022_2023_to_2024,next_week,baseline_historical_mean,6,131.79480440646475,16.37260619067238,188.70001551015673,9.535559850869104,445.1747076437665
validate_2022_2023_to_2024,next_week,baseline_lag_168h,6,18.370284431137723,10.590131736526946,18.53691837229131,4.969161676646706,53.058119760479045
validate_2022_2023_to_2024,next_week,direct_xgb_cyclical_kmeans,6,167.85993894748344,36.20457208087487,222.08611715008152,11.991230976767168,455.37919983421824
validate_2022_2023_to_2024,next_week,research_lightgbm_cyclical_kmeans,6,165.61739249684177,34.222564951173936,222.64188638486945,10.361642368649893,484.50406882259256
validate_2022_2023_to_2024,next_week,research_random_forest_cyclical_kmeans,6,175.66294166662078,40.68640569921709,232.06489180817053,11.468918185394603,489.4632672042382
validate_2022_2023_to_2024,next_week,zone_allocated_hgb,6,161.6410005323334,39.68543109037729,200.2750308786963,25.114095430939024,426.66361566412286
holdout_2022_2024_to_2025,next_day,baseline_historical_mean,5,65.14777290996933,34.50647484623352,58.671798197091945,5.98677514819498,141.36571121349527
holdout_2022_2024_to_2025,next_day,baseline_lag_168h,5,15.523416666666662,12.315166666666665,17.260825464707366,2.956958333333333,44.940999999999995
holdout_2022_2024_to_2025,next_day,direct_xgb_cyclical_kmeans,5,28.45413315327962,20.63609972127279,16.124706858341543,12.660196512858072,53.00662516276041
holdout_2022_2024_to_2025,next_day,research_lightgbm_cyclical_kmeans,5,35.7220862549634,14.949005614762896,45.42842013815921,9.52316352297282,116.49558407912605
holdout_2022_2024_to_2025,next_day,research_random_forest_cyclical_kmeans,5,33.28061673819011,7.216484878549768,42.79578995878395,6.50748938411104,105.20938048664304
holdout_2022_2024_to_2025,next_day,zone_allocated_hgb,5,91.90854232545216,50.88384275109993,81.29720985482828,9.766034011698896,199.7632717811865
holdout_2022_2024_to_2025,next_month,baseline_historical_mean,5,121.91833397819155,32.813736877557965,132.1841865326043,18.185942260671805,293.9536220067336
holdout_2022_2024_to_2025,next_month,baseline_lag_168h,5,39.90323214285714,23.970714285714287,33.25348804405576,13.115148809523811,87.40582142857143
holdout_2022_2024_to_2025,next_month,direct_xgb_cyclical_kmeans,5,212.31862450006955,31.25780788479056,249.05706273637884,29.592118799845377,502.46335245407266
holdout_2022_2024_to_2025,next_month,research_lightgbm_cyclical_kmeans,5,216.62520540277387,30.50721640400182,256.374769560602,28.53463942757513,517.179227977699
holdout_2022_2024_to_2025,next_month,research_random_forest_cyclical_kmeans,5,209.04558805813951,31.46496006140658,245.70357868489137,28.33729766110712,478.745983259352
holdout_2022_2024_to_2025,next_month,zone_allocated_hgb,5,145.34980032953632,44.015619176771985,158.37217664917026,18.818974321414423,363.0577138818739
holdout_2022_2024_to_2025,next_week,baseline_historical_mean,5,91.7713325526042,28.598786582700104,94.44696458187371,19.25426225894639,203.3383421054604
holdout_2022_2024_to_2025,next_week,baseline_lag_168h,5,39.90323214285714,23.970714285714287,33.25348804405576,13.115148809523811,87.40582142857143
holdout_2022_2024_to_2025,next_week,direct_xgb_cyclical_kmeans,5,163.18342415858675,31.44174415443057,182.85133134756583,29.43782384527297,390.3661407485235
holdout_2022_2024_to_2025,next_week,research_lightgbm_cyclical_kmeans,5,171.10397899264646,29.219267536266084,196.56255022822543,27.98090998191546,417.0634641972531
holdout_2022_2024_to_2025,next_week,research_random_forest_cyclical_kmeans,5,168.62426961212688,30.31171953820864,190.57204769175783,28.551021294029088,391.5645458591945
holdout_2022_2024_to_2025,next_week,zone_allocated_hgb,5,117.1666733018726,41.09304740494478,125.21358745592752,21.081990869803864,295.2675177639273
