bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,run_name,forecast_horizon
CHEROKEE_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,96.989,93.1230421501752,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,601.703,648.4283247834552,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,91.342,94.98826598253649,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 00:00:00,2022-04-01,1,187.353,192.66682512139164,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,100.899,105.15930905888088,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,82.653,86.58575427676278,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,89.712,90.7394181337542,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,77.439,86.41169721373994,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,147.276,138.34607860658755,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,96.83,91.84292692961071,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,594.245,645.3371495004961,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,91.008,94.68019594146419,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 01:00:00,2022-04-01,2,186.005,190.7265667242746,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,99.634,104.90457021726284,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,82.058,84.84902231687059,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,89.067,88.97138860942384,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,73.324,80.45067121523348,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,145.893,135.8667422387207,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,95.143,89.0595809069878,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,593.82,629.6224925809116,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,90.147,92.65837600738702,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 02:00:00,2022-04-01,3,183.376,189.6945472904815,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,97.907,102.76535051311988,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,81.004,81.96369045566054,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,87.914,87.20062810085996,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,71.331,78.52227816495434,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,143.937,131.25024212119018,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,94.739,82.79361417323027,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,585.354,590.9403165895598,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,88.576,89.81412493348932,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 03:00:00,2022-04-01,4,180.181,178.27503390732497,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,96.41,98.06694474025807,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,79.489,80.62340955316596,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,86.383,85.58160996612858,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,70.715,77.82643229406027,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,141.116,130.71698402157935,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,93.46,80.47407465994394,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,581.862,580.8352979219493,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,88.417,89.70329457001583,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 04:00:00,2022-04-01,5,177.554,178.27503390732497,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,97.063,98.92235859266941,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,77.506,78.54052480388034,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,84.814,85.40338177941089,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,72.771,78.99477695545404,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,139.058,130.53875583486166,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,91.196,79.29965486968351,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,575.793,580.8352979219493,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,87.669,89.52506638329814,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 05:00:00,2022-04-01,6,173.826,178.09680572060728,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,98.552,100.27751884495265,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,75.98,77.15171894684045,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,82.933,84.67241705737739,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,78.801,83.42698148308173,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,136.441,130.53875583486166,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,90.481,79.29965486968351,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,574.173,579.1680970316937,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,86.495,89.30576261576795,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 06:00:00,2022-04-01,7,171.893,178.09680572060728,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,103.734,103.27508738651008,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,75.234,77.15171894684045,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,81.512,82.94346850545666,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,89.683,91.94253976774155,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,134.724,130.34752392666593,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,91.405,79.82731182391088,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,583.058,579.5241228550309,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,87.076,89.19774508047088,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 07:00:00,2022-04-01,8,173.448,177.90557381241155,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,110.129,108.8177730323174,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,77.11,78.3492928956846,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,80.533,81.32731866735521,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,93.619,96.01332440197014,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,136.403,129.9355462000473,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,91.276,78.69644523486912,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,588.021,579.2060777284345,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,86.456,87.10589580121976,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 08:00:00,2022-04-01,9,172.812,177.49359608579292,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,113.066,109.281932813631,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,76.515,77.93731516906595,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,81.737,81.31684098205132,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,96.096,96.77948699672008,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,136.362,129.9250685147434,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,93.055,80.22844268775263,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,604.804,589.4242298882419,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,87.743,88.6105507988152,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 09:00:00,2022-04-01,10,175.895,177.79455350304875,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,118.387,114.39593359319312,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,77.528,78.2382725863218,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,83.146,82.86465036203626,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,99.081,99.58166277596975,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,139.735,130.5917152210172,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,94.892,82.83616027731668,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,629.868,609.6695648167115,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,89.684,89.96032999372107,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 10:00:00,2022-04-01,11,179.471,178.6839649727809,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,122.182,115.23726689395976,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,77.705,77.64219010277085,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,84.684,84.39883212724567,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,99.058,98.7876692524578,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,143.014,130.8585669060854,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,96.05,83.92764921132644,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,635.975,622.6098518422192,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,90.673,89.20480030547117,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 11:00:00,2022-04-01,12,181.767,178.6839649727809,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,124.306,115.23726689395976,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,77.388,77.30122619826045,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,85.823,84.80195093711362,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,99.951,97.35790347282214,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,145.604,131.37124746999228,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,96.742,84.04683844446079,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,643.43,633.4328153936895,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,91.767,90.20627248749732,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 12:00:00,2022-04-01,13,182.582,179.4544319965885,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,125.532,115.3564561270941,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,77.267,78.59559066941908,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,86.264,85.03097769684601,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,101.188,100.50091472645542,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,146.172,131.84967142998224,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,98.505,85.10054413555791,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,664.027,650.2477977388721,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,92.208,90.93967161908199,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 13:00:00,2022-04-01,14,183.989,180.75753410849276,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,126.679,116.08985525867878,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,77.48,79.11942850094668,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,87.299,86.13481388074194,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,104.588,101.82870849517363,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,147.704,133.91298459468484,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,97.581,86.83727671374568,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,674.097,663.1069188706972,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,93.15,91.55533178138612,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 14:00:00,2022-04-01,15,186.3,184.6388419908664,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,128.055,118.92859255784892,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,78.994,79.95674485592355,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,88.287,86.06520257759699,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,109.144,105.16688180629299,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,150.532,135.17260798148982,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,98.825,87.45481483763035,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,680.345,663.1945891350124,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,94.758,92.41366091746055,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 15:00:00,2022-04-01,16,189.296,187.3264302712925,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,128.946,119.01626282216407,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,80.138,80.11402642338365,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,89.811,87.8300992495195,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,113.886,107.14696126361365,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,153.899,137.70986128144258,next_day_lightgbm,next_day_lightgbm,next_day
