dayzer_bus_id,dayzer_bus_name,pano_bus_id,pano_bus_name,distance_km,dayzer_kv,pano_kv,distance_rank,dayzer_normalized_name,pano_normalized_name,fuzzy_name_similarity,token_overlap,numeric_token_overlap,name_score,exact_voltage_match,voltage_difference,same_voltage_band,voltage_score,distance_score,name_rank,voltage_compatible_rank,degree_dayzer,neighbor_count_dayzer,same_voltage_neighbor_count_dayzer,high_voltage_neighbor_count_dayzer,low_voltage_neighbor_count_dayzer,neighbor_voltage_profile_dayzer,neighbor_name_tokens_dayzer,degree_pano,neighbor_count_pano,same_voltage_neighbor_count_pano,high_voltage_neighbor_count_pano,low_voltage_neighbor_count_pano,neighbor_voltage_profile_pano,neighbor_name_tokens_pano,degree_similarity,neighbor_voltage_overlap,neighbor_token_overlap,topology_score,composite_score,candidate_rank,score_gap_to_second_best,evidence_conflict_flag,ambiguity_flag,confidence_label,match_stage,propagation_iteration,propagation_support_count,propagation_support_ratio,propagation_score,reverse_propagation_support_count,reverse_propagation_support_ratio,propagation_consistency_score,propagation_candidate_rank,propagation_score_gap
1_9903,ELARA_SL_8,1_9315,ELARA_SL_138KV_1,0.021469931098591938,138.0,138.0,2,elara sl 8,elara sl 138kv 1,0.7692307692307693,0.4,0.0,0.5615384615384615,True,0.0,True,1.0,0.9989270794363705,1,1,2,2,1,0,1,"{'hv': 1, 'lv': 1}",elara elara8 s1 sl,2,2,1,0,1,"{'lv': 1, 'hv': 1}",1 138kv 34kv elara sl,1.0,1.0,0.2857142857142857,0.8571428571428572,0.861491310644098,1,0.150848222341451,False,False,high,seed,0,0,0.0,0.861491310644098,,,,,
1_7922,BTE_1_8,1_1362,BTE_138KV_1,0.15626820905476935,138.0,138.0,4,bte 1 8,bte 138kv 1,0.6666666666666666,0.5,0.3333333333333333,0.575,True,0.0,True,1.0,0.9922170348931157,2,1,6,6,0,2,4,"{'lv': 4, 'ehv': 2}",1 2 5 bte g1 g2 g3 g4,6,6,0,2,4,"{'ehv': 2, 'lv': 4}",1 18kv 2 3 345kv 4 bte,1.0,1.0,0.25,0.8500000000000001,0.8614151104679347,1,0.1894316492107937,False,False,high,seed,0,0,0.0,0.8614151104679347,,,,,
1_8132,GAMBIT_S1,1_1598,GAMBIT_34KV_1,0.21234889895328898,34.5,34.5,2,gambit s1,gambit 34kv 1,0.7272727272727273,0.25,0.5,0.5738636363636364,True,0.0,True,1.0,0.9894387211649873,1,1,1,1,0,1,0,{'hv': 1},8 gambit,1,1,0,1,0,{'hv': 1},1 138kv gambit,1.0,1.0,0.25,0.8500000000000001,0.8602975254404053,1,0.24390943796144993,False,False,high,seed,0,0,0.0,0.8602975254404053,,,,,
1_7950,CBEC_1_8,1_1712,CBEC_138KV_1,0.19473521517240683,138.0,138.0,5,cbec 1 8,cbec 138kv 1,0.7,0.5,0.3333333333333333,0.595,True,0.0,True,1.0,0.9903104880220436,3,1,9,9,1,0,8,"{'lv': 8, 'hv': 1}",8 cbec dyann gt1 gt11 gt12 gt2 gt3 gt4 poi stg1 stg2,9,9,1,0,8,"{'lv': 8, 'hv': 1}",1 138kv 13kv 2 3 4 5 6 7 8 cbec dyn,1.0,1.0,0.09090909090909091,0.8181818181818182,0.8594795100429767,1,0.2556798746522775,False,False,high,seed,0,0,0.0,0.8594795100429767,,,,,
1_8057,VICTPORT_8,1_1579,VICTPORT_138KV_1,0.027471423575697866,138.0,138.0,1,victport 8,victport 138kv 1,0.7692307692307693,0.25,0.0,0.5240384615384616,True,0.0,True,1.0,0.998627371738336,1,1,4,4,2,0,2,"{'lv': 2, 'hv': 2}",1 2 8 rplypoi4a victport victprt2,4,4,2,0,2,"{'hv': 2, 'lv': 2}",1 138kv 13kv 2 rupletp victport victprt2,1.0,1.0,0.4444444444444444,0.888888888888889,0.858375604683894,1,0.0679107802209572,False,False,high,seed,0,0,0.0,0.858375604683894,,,,,
1_10496,BATCAVE_BES1,1_3573,BATCAVE_34KV_1,0.020466224362102096,34.5,34.5,2,batcave bes1,batcave 34kv 1,0.6923076923076923,0.25,0.5,0.5528846153846153,True,0.0,True,1.0,0.998977212186269,1,1,1,1,0,1,0,{'hv': 1},8 batcave,1,1,0,1,0,{'hv': 1},1 138kv batcave,1.0,1.0,0.25,0.8500000000000001,0.8579143175020345,1,0.25739659642218804,False,False,high,seed,0,0,0.0,0.8579143175020345,,,,,
1_5923,TNSWEENY__1,1_737,SWEENY_138KV_1,0.02727020406701338,138.0,138.0,1,tnsweeny 1,sweeny 138kv 1,0.6666666666666666,0.25,0.5,0.5375,True,0.0,True,1.0,0.9986374189543333,1,1,3,3,3,0,0,{'hv': 3},1 8 byrdr es tnbrazoria1 tnfm524,3,3,3,0,0,{'hv': 3},1 138kv brazoria byrdr es fm524,1.0,1.0,0.3333333333333333,0.8666666666666667,0.8572995590196334,1,0.15266467586855526,False,False,high,seed,0,0,0.0,0.8572995590196334,,,,,
1_8378,RPUBRDS_G1,1_6962,RPUBRDS_34KV_1,0.6868366199459465,34.5,34.5,1,rpubrds g1,rpubrds 34kv 1,0.75,0.25,0.5,0.5874999999999999,True,0.0,True,1.0,0.966241157000865,1,1,1,1,0,1,0,{'hv': 1},8 rpubrds,1,1,0,1,0,{'hv': 1},1 138kv rpubrds,1.0,1.0,0.25,0.8500000000000001,0.8567473471002596,1,0.33844960817294145,False,False,high,seed,0,0,0.0,0.8567473471002596,,,,,
1_8719,TI_SOLAR_8,1_8158,TI_SOLAR_138KV_1,0.022133280463453312,138.0,138.0,1,ti solar 8,ti solar 138kv 1,0.7692307692307693,0.4,0.0,0.5615384615384615,True,0.0,True,1.0,0.9988939481036304,1,1,3,3,1,0,2,"{'lv': 2, 'hv': 1}",1y l pinnac8 s1 s2 solar ti,3,3,1,0,2,"{'hv': 1, 'lv': 2}",1 138kv 2 34kv pinnac solar ti,1.0,1.0,0.16666666666666666,0.8333333333333334,0.8567194664823712,1,0.18918261053713126,False,False,high,seed,0,0,0.0,0.8567194664823712,,,,,
1_8749,QUEEN_BA_5,1_7432,QUEEN_BA_345KV_1,0.611915545714638,345.0,345.0,4,queen ba 5,queen ba 345kv 1,0.7692307692307693,0.4,0.0,0.5615384615384615,True,0.0,True,1.0,0.9698675363384812,1,1,2,2,1,0,1,"{'ehv': 1, 'lv': 1}",ba g1 gpl kingmtsw queen,2,2,1,0,1,"{'ehv': 1, 'lv': 1}",1 345kv 34kv ba kingmtsw queen,1.0,1.0,0.375,0.875,0.8563448762861599,1,0.10332299105132758,False,False,high,seed,0,0,0.0,0.8563448762861599,,,,,
1_7887,TXCTY_1_8,1_510,TXCTY_138KV_1,0.8678939370501466,138.0,138.0,6,txcty 1 8,txcty 138kv 1,0.7272727272727273,0.5,0.3333333333333333,0.6113636363636363,True,0.0,True,1.0,0.9575333800609774,2,1,5,5,1,0,4,"{'lv': 4, 'hv': 1}",1 cta ctb ctc st tncaddo txcty,5,5,1,0,4,"{'lv': 4, 'hv': 1}",1 138kv 13kv 2 3 4 caddotn txcty,1.0,1.0,0.15384615384615385,0.8307692307692308,0.8562547692630486,1,0.13463060593436782,False,False,high,seed,0,0,0.0,0.8562547692630486,,,,,
1_5884,TNALVIN___1,1_649,ALVIN_138KV_1,0.4053579304178193,138.0,138.0,1,tnalvin 1,alvin 138kv 1,0.6363636363636364,0.25,0.5,0.5193181818181818,True,0.0,True,1.0,0.9799361166629704,2,1,4,4,4,0,0,{'hv': 4},1 8 bcnv ess tnmainland1 tnnalvin tort,4,4,4,0,0,{'hv': 4},1 138kv bcnv ess mainland tnnalvin tort,1.0,1.0,0.5555555555555556,0.9111111111111112,0.8560326026756588,1,0.18235525583224554,False,False,high,seed,0,0,0.0,0.8560326026756588,,,,,
1_8162,VICTPRT2_8,1_188,VICTPRT2_138KV_1,0.22670196248898813,138.0,138.0,5,victprt2 8,victprt2 138kv 1,0.7692307692307693,0.25,0.25,0.5615384615384615,True,0.0,True,1.0,0.9887289020559431,1,2,3,3,1,0,2,"{'lv': 2, 'hv': 1}",8 g1 g2 victport victprt2,3,3,1,0,2,"{'hv': 1, 'lv': 2}",1 138kv 13kv 2 victport victprt2,1.0,1.0,0.2222222222222222,0.8444444444444444,0.8558921748902872,1,0.0744578095226327,False,False,high,seed,0,0,0.0,0.8558921748902872,,,,,
1_3261,SAPOWER1C,1_3035,SAPOWER_1KV_1,0.09375846784136858,1.0,1.0,2,sapower1c,sapower 1kv 1,0.7272727272727273,0.0,1.0,0.5863636363636363,True,0.0,True,1.0,0.9953230477701118,1,2,3,3,0,3,0,"{'lv': 2, 'hv': 1}",sapower2a sapower3c sapower4b,3,3,0,3,0,"{'lv': 2, 'hv': 1}",1 138kv 13kv 69kv sapower,1.0,1.0,0.0,0.8,0.8551878234219427,1,0.14528637838934622,False,False,high,seed,0,0,0.0,0.8551878234219427,,,,,
1_5443,WWEST2_1,1_5190,WWEST_1KV_1,0.01169828097224458,1.0,1.0,1,wwest2 1,wwest 1kv 1,0.7368421052631579,0.25,0.5,0.5796052631578947,True,0.0,True,1.0,0.9994152569802626,1,1,3,3,0,3,0,"{'lv': 2, 'hv': 1}",3 8 9 w1 w1a waco,3,3,0,3,0,"{'lv': 2, 'hv': 1}",1 138kv 13kv 2 69kv wwest,1.0,1.0,0.0,0.8,0.8547258928835525,1,0.20634565312378572,False,False,high,seed,0,0,0.0,0.8547258928835525,,,,,
1_2614,RIONOG_1_5,1_2752,RIONOG_345KV_1,0.1588898176907898,345.0,345.0,3,rionog 1 5,rionog 345kv 1,0.6666666666666666,0.5,0.3333333333333333,0.575,True,0.0,True,1.0,0.9920869831795451,3,1,5,5,1,0,4,"{'lv': 4, 'ehv': 1}",1y cleasp5 ct1 ct2 ct3 l rionog st1,5,5,1,0,4,"{'lv': 4, 'ehv': 1}",1 18kv 2 22kv 3 345kv cleasp rionog,1.0,1.0,0.06666666666666667,0.8133333333333334,0.8540427616205304,1,0.25312077649200737,False,False,high,seed,0,0,0.0,0.8540427616205304,,,,,
1_5370,LFKSW7_1,1_6585,LFKSW_1KV_1,0.06419488411714165,1.0,1.0,1,lfksw7 1,lfksw 1kv 1,0.7368421052631579,0.25,0.5,0.5796052631578947,True,0.0,True,1.0,0.9967954015161203,1,1,3,3,0,3,0,"{'ehv': 1, 'lv': 1, 'hv': 1}",3 5 8 lufknss,3,3,0,3,0,"{'lv': 1, 'ehv': 1, 'hv': 1}",1 138kv 13kv 345kv lfksw,1.0,1.0,0.0,0.8,0.8539399362443097,1,0.1726345418574483,False,False,high,seed,0,0,0.0,0.8539399362443097,,,,,
1_8868,WHTTAIL_1_8,1_9604,WHTTAIL_138KV_1,1.4657983186464798,138.0,138.0,1,whttail 1 8,whttail 138kv 1,0.7692307692307693,0.5,0.3333333333333333,0.6365384615384616,True,0.0,True,1.0,0.9293313629977464,1,1,2,2,1,0,1,"{'hv': 1, 'lv': 1}",whttail wolfridge wr1,2,2,1,0,1,"{'hv': 1, 'lv': 1}",1 138kv 34kv whttail wolfridg,1.0,1.0,0.14285714285714285,0.8285714285714286,0.853648309998225,1,0.13367577031124378,False,False,high,seed,0,0,0.0,0.853648309998225,,,,,
1_5389,CDHSW2_1,1_6246,CDHSW_1KV_1,0.08919769477022918,1.0,1.0,3,cdhsw2 1,cdhsw 1kv 1,0.7368421052631579,0.25,0.5,0.5796052631578947,True,0.0,True,1.0,0.995550045778956,1,2,3,3,0,3,0,"{'hv': 1, 'lv': 1, 'ehv': 1}",1t8 3 5 chilsw chilsw1,3,3,0,3,0,"{'hv': 1, 'ehv': 1, 'lv': 1}",1 138kv 13kv 345kv cdhsw,1.0,1.0,0.0,0.8,0.8535663295231605,1,0.18305815883328913,False,False,high,seed,0,0,0.0,0.8535663295231605,,,,,
1_9485,YNG_WND_5,1_5542,YNG_WND_345KV_1,0.025087677969231035,345.0,345.0,1,yng wnd 5,yng wnd 345kv 1,0.75,0.4,0.0,0.5499999999999999,True,0.0,True,1.0,0.9987464025121662,1,1,4,4,1,0,3,"{'lv': 3, 'ehv': 1}",5 thomprce w1 w2 w3 wnd yng,4,4,1,0,3,"{'lv': 3, 'ehv': 1}",1 2 3 345kv 34kv tomsw wnd yng,1.0,1.0,0.15384615384615385,0.8307692307692308,0.853277766907496,1,0.31076772511154205,False,False,high,seed,0,0,0.0,0.853277766907496,,,,,
1_10353,LONEWOLF_1_5,1_3323,LONEWOLF_345KV_1,0.8544758775300294,345.0,345.0,2,lonewolf 1 5,lonewolf 345kv 1,0.7142857142857143,0.5,0.3333333333333333,0.6035714285714286,True,0.0,True,1.0,0.9581760076015455,2,1,3,3,1,0,2,"{'lv': 2, 'ehv': 1}",5 champncrk g1 g2 lonewolf,3,3,1,0,2,"{'ehv': 1, 'lv': 2}",1 2 345kv 34kv ccrsw lonewolf,1.0,1.0,0.1,0.8200000000000001,0.8523456594233209,1,0.18118814121374105,False,False,high,seed,0,0,0.0,0.8523456594233209,,,,,
1_8366,NACPW_UNIT1,1_6879,NACPW_13KV_1,0.24946449276177288,13.8,13.8,1,nacpw unit1,nacpw 13kv 1,0.6086956521739131,0.25,0.5,0.5027173913043478,True,0.0,True,1.0,0.9876042436009156,1,1,1,1,0,1,0,{'hv': 1},1 8 nacpw,1,1,0,1,0,{'hv': 1},1 138kv nacpw,1.0,1.0,0.5,0.9,0.8519606209063616,1,0.24907452851348666,False,False,high,seed,0,0,0.0,0.8519606209063616,,,,,
1_10262,SWEETWN2_1_5,1_3769,SWEETWN2_345KV_1,1.6437779505575116,345.0,345.0,4,sweetwn2 1 5,sweetwn2 345kv 1,0.7142857142857143,0.5,0.5,0.6285714285714286,True,0.0,True,1.0,0.9210979491363551,3,1,2,2,1,0,1,"{'hv': 1, 'ehv': 1}",1y 2 8 bittcr5 l sweetwn2,2,2,1,0,1,"{'ehv': 1, 'hv': 1}",1 138kv 2 345kv bittcr sweetwn2,1.0,1.0,0.2,0.8400000000000001,0.8514722418837637,1,0.10649351744123747,False,False,high,seed,0,0,0.0,0.8514722418837637,,,,,
1_9016,S_HILLS_69,1_10023,S_HILLS_69KV_1,3.205632924106608,69.0,69.0,1,s hills 69,s hills 69kv 1,0.8333333333333334,0.4,0.5,0.6749999999999999,True,0.0,True,1.0,0.8519038196964566,1,1,2,2,1,0,1,{'lv': 2},hills mabelle s w1,2,2,1,0,1,{'lv': 2},1 34kv 69kv hills mabelle s,1.0,1.0,0.42857142857142855,0.8857142857142858,0.851464003051794,1,0.1505050104179595,False,False,high,seed,0,0,0.0,0.851464003051794,,,,,
1_7695,CBY4_1_5,1_1174,CBY4_345KV_1,0.1552892817132671,345.0,345.0,4,cby4 1 5,cby4 345kv 1,0.6,0.5,0.5,0.5599999999999999,True,0.0,True,1.0,0.9922656015008936,2,1,4,4,1,0,3,"{'lv': 3, 'ehv': 1}",b345a cby4 cedarp ct41 ct42 st04,4,4,1,0,3,"{'lv': 3, 'ehv': 1}",1 16kv 2 3 345kv cby cby4,1.0,1.0,0.08333333333333333,0.8166666666666668,0.8510130137836014,1,0.10627940963705185,False,False,high,seed,0,0,0.0,0.8510130137836014,,,,,
1_10118,WEBBER__WSP1,1_2350,WEBBER_S_34KV_1,0.14605708813731902,34.5,34.5,1,webber wsp1,webber s 34kv 1,0.6923076923076923,0.2,0.5,0.5403846153846154,True,0.0,True,1.0,0.9927237466404643,1,1,1,1,0,1,0,{'hv': 1},sol webber,1,1,0,1,0,{'hv': 1},1 138kv s webber,1.0,1.0,0.2,0.8400000000000001,0.8509132778382931,1,0.2601433988076447,False,False,high,seed,0,0,0.0,0.8509132778382931,,,,,
